demojized,description
:partying_face:,"celebration, hat, horn, party, partying face, partying, face"
:disguised_face:,"disguise, disguised face, face, glasses, incognito, nose, disguised, face"
:smiling_face_with_sunglasses:,"bright, cool, face, smiling face with sunglasses, sun, sunglasses, smiling, face, with, sunglasses"
:nerd_face:,"face, geek, nerd, nerd, face"
:face_with_monocle:,"face, face with monocle, monocle, stuffy, face, with, monocle"
:confused_face:,"confused, face, meh, confused, face"
:face_with_diagonal_mouth:,"disappointed, face with diagonal mouth, meh, skeptical, unsure, face, with, diagonal, mouth"
:worried_face:,"face, worried, worried, face"
:slightly_frowning_face:,"face, frown, slightly frowning face, slightly, frowning, face"
:frowning_face:,"face, frown, frowning face, frowning, face"
:face_with_open_mouth:,"face, face with open mouth, mouth, open, sympathy, face, with, open, mouth"
:hushed_face:,"face, hushed, stunned, surprised, hushed, face"
:astonished_face:,"astonished, face, shocked, totally, astonished, face"
:flushed_face:,"dazed, face, flushed, flushed, face"
:pleading_face:,"begging, mercy, pleading face, puppy eyes, pleading, face"
:face_holding_back_tears:,"angry, cry, face holding back tears, proud, resist, sad, face, holding, back, tears"
:frowning_face_with_open_mouth:,"face, frown, frowning face with open mouth, mouth, open, frowning, face, with, open, mouth"
:anguished_face:,"anguished, face, anguished, face"
:fearful_face:,"face, fear, fearful, scared, fearful, face"
:anxious_face_with_sweat:,"anxious face with sweat, blue, cold, face, rushed, sweat, anxious, face, with, sweat"
:sad_but_relieved_face:,"disappointed, face, relieved, sad but relieved face, whew, sad, but, relieved, face"
:crying_face:,"cry, crying face, face, sad, tear, crying, face"
:loudly_crying_face:,"cry, face, loudly crying face, sad, sob, tear, loudly, crying, face"
:face_screaming_in_fear:,"face, face screaming in fear, fear, munch, scared, scream, face, screaming, in, fear"
:confounded_face:,"confounded, face, confounded, face"
:persevering_face:,"face, persevere, persevering face, persevering, face"
:disappointed_face:,"disappointed, face, disappointed, face"
:downcast_face_with_sweat:,"cold, downcast face with sweat, face, sweat, downcast, face, with, sweat"
:weary_face:,"face, tired, weary, weary, face"
:tired_face:,"face, tired, tired, face"
:yawning_face:,"bored, tired, yawn, yawning face, yawning, face"
:face_with_steam_from_nose:,"face, face with steam from nose, triumph, won, face, with, steam, from, nose"
:enraged_face:,"angry, enraged, face, mad, pouting, rage, red, enraged, face"
:angry_face:,"anger, angry, face, mad, angry, face"
:face_with_symbols_on_mouth:,"face with symbols on mouth, swearing, face, with, symbols, on, mouth"
:smiling_face_with_horns:,"face, fairy tale, fantasy, horns, smile, smiling face with horns, smiling, face, with, horns"
:angry_face_with_horns:,"angry face with horns, demon, devil, face, fantasy, imp, angry, face, with, horns"
:skull:,"death, face, fairy tale, monster, skull, skull"
:skull_and_crossbones:,"crossbones, death, face, monster, skull, skull and crossbones, skull, and, crossbones"
:pile_of_poo:,"dung, face, monster, pile of poo, poo, poop, pile, of, poo"
:clown_face:,"clown, face, clown, face"
:ogre:,"creature, face, fairy tale, fantasy, monster, ogre, ogre"
:goblin:,"creature, face, fairy tale, fantasy, goblin, monster, goblin"
:ghost:,"creature, face, fairy tale, fantasy, ghost, monster, ghost"
:alien:,"alien, creature, extraterrestrial, face, fantasy, ufo, alien"
:alien_monster:,"alien, creature, extraterrestrial, face, monster, ufo, alien, monster"
:robot:,"face, monster, robot, robot"
:grinning_cat:,"cat, face, grinning, mouth, open, smile, grinning, cat"
:grinning_cat_with_smiling_eyes:,"cat, eye, face, grin, grinning cat with smiling eyes, smile, grinning, cat, with, smiling, eyes"
:cat_with_tears_of_joy:,"cat, cat with tears of joy, face, joy, tear, cat, with, tears, of, joy"
:smiling_cat_with_heart-eyes:,"cat, eye, face, heart, love, smile, smiling cat with heart-eyes, smiling, cat, with, heart-eyes"
:cat_with_wry_smile:,"cat, cat with wry smile, face, ironic, smile, wry, cat, with, wry, smile"
:kissing_cat:,"cat, eye, face, kiss, kissing cat, kissing, cat"
:weary_cat:,"cat, face, oh, surprised, weary, weary, cat"
:crying_cat:,"cat, cry, crying cat, face, sad, tear, crying, cat"
:pouting_cat:,"cat, face, pouting, pouting, cat"
:see-no-evil_monkey:,"evil, face, forbidden, monkey, see, see-no-evil monkey, see-no-evil, monkey"
:hear-no-evil_monkey:,"evil, face, forbidden, hear, hear-no-evil monkey, monkey, hear-no-evil, monkey"
:speak-no-evil_monkey:,"evil, face, forbidden, monkey, speak, speak-no-evil monkey, speak-no-evil, monkey"
:love_letter:,"heart, letter, love, mail, love, letter"
:heart_with_arrow:,"arrow, cupid, heart with arrow, heart, with, arrow"
:heart_with_ribbon:,"heart with ribbon, ribbon, valentine, heart, with, ribbon"
:sparkling_heart:,"excited, sparkle, sparkling heart, sparkling, heart"
:growing_heart:,"excited, growing, growing heart, nervous, pulse, growing, heart"
:beating_heart:,"beating, beating heart, heartbeat, pulsating, beating, heart"
:revolving_hearts:,"revolving, revolving hearts, revolving, hearts"
:two_hearts:,"love, two hearts, two, hearts"
:heart_decoration:,"heart, heart decoration, heart, decoration"
:heart_exclamation:,"exclamation, heart exclamation, mark, punctuation, heart, exclamation"
:broken_heart:,"break, broken, broken heart, broken, heart"
:heart_on_fire:,"burn, heart, heart on fire, love, lust, sacred heart, heart, on, fire"
:mending_heart:,"healthier, improving, mending, mending heart, recovering, recuperating, well, mending, heart"
:red_heart:,"heart, red heart, red, heart"
:pink_heart:,"cute, heart, like, love, pink, pink, heart"
:orange_heart:,"orange, orange heart, orange, heart"
:yellow_heart:,"yellow, yellow heart, yellow, heart"
:green_heart:,"green, green heart, green, heart"
:blue_heart:,"blue, blue heart, blue, heart"
:light_blue_heart:,"cyan, heart, light blue, light blue heart, teal, light, blue, heart"
:purple_heart:,"purple, purple heart, purple, heart"
:brown_heart:,"brown, heart, brown, heart"
:black_heart:,"black, black heart, evil, wicked, black, heart"
:grey_heart:,"gray, grey heart, heart, silver, slate, grey, heart"
:white_heart:,"heart, white, white, heart"
:kiss_mark:,"kiss, kiss mark, lips, kiss, mark"
:hundred_points:,"100, full, hundred, hundred points, score, hundred, points"
:anger_symbol:,"anger symbol, angry, comic, mad, anger, symbol"
:collision:,"boom, collision, comic, collision"
:dizzy:,"comic, dizzy, star, dizzy"
:sweat_droplets:,"comic, splashing, sweat, sweat droplets, sweat, droplets"
:dashing_away:,"comic, dash, dashing away, running, dashing, away"
:hole:,"hole, hole"
:speech_balloon:,"balloon, bubble, comic, dialog, speech, speech, balloon"
:eye_in_speech_bubble:,"balloon, bubble, eye, eye in speech bubble, speech, witness, eye, in, speech, bubble"
:left_speech_bubble:,"balloon, bubble, dialog, left speech bubble, speech, left, speech, bubble"
:right_anger_bubble:,"angry, balloon, bubble, mad, right anger bubble, right, anger, bubble"
:thought_balloon:,"balloon, bubble, comic, thought, thought, balloon"
:ZZZ:,"comic, good night, sleep, ZZZ, ZZZ"
:waving_hand:,"hand, wave, waving, waving, hand"
:waving_hand_light_skin_tone:,"hand, light skin tone, wave, waving, waving, hand:, light, skin, tone"
:waving_hand_medium-light_skin_tone:,"hand, medium-light skin tone, wave, waving, waving, hand:, medium-light, skin, tone"
:waving_hand_medium_skin_tone:,"hand, medium skin tone, wave, waving, waving, hand:, medium, skin, tone"
:waving_hand_medium-dark_skin_tone:,"hand, medium-dark skin tone, wave, waving, waving, hand:, medium-dark, skin, tone"
:waving_hand_dark_skin_tone:,"dark skin tone, hand, wave, waving, waving, hand:, dark, skin, tone"
:raised_back_of_hand:,"backhand, raised, raised back of hand, raised, back, of, hand"
:raised_back_of_hand_light_skin_tone:,"backhand, light skin tone, raised, raised back of hand, raised, back, of, hand:, light, skin, tone"
:raised_back_of_hand_medium-light_skin_tone:,"backhand, medium-light skin tone, raised, raised back of hand, raised, back, of, hand:, medium-light, skin, tone"
:raised_back_of_hand_medium_skin_tone:,"backhand, medium skin tone, raised, raised back of hand, raised, back, of, hand:, medium, skin, tone"
:raised_back_of_hand_medium-dark_skin_tone:,"backhand, medium-dark skin tone, raised, raised back of hand, raised, back, of, hand:, medium-dark, skin, tone"
:raised_back_of_hand_dark_skin_tone:,"backhand, dark skin tone, raised, raised back of hand, raised, back, of, hand:, dark, skin, tone"
:hand_with_fingers_splayed:,"finger, hand, hand with fingers splayed, splayed, hand, with, fingers, splayed"
:hand_with_fingers_splayed_light_skin_tone:,"finger, hand, hand with fingers splayed, light skin tone, splayed, hand, with, fingers, splayed:, light, skin, tone"
:hand_with_fingers_splayed_medium-light_skin_tone:,"finger, hand, hand with fingers splayed, medium-light skin tone, splayed, hand, with, fingers, splayed:, medium-light, skin, tone"
:hand_with_fingers_splayed_medium_skin_tone:,"finger, hand, hand with fingers splayed, medium skin tone, splayed, hand, with, fingers, splayed:, medium, skin, tone"
:hand_with_fingers_splayed_medium-dark_skin_tone:,"finger, hand, hand with fingers splayed, medium-dark skin tone, splayed, hand, with, fingers, splayed:, medium-dark, skin, tone"
:hand_with_fingers_splayed_dark_skin_tone:,"dark skin tone, finger, hand, hand with fingers splayed, splayed, hand, with, fingers, splayed:, dark, skin, tone"
:raised_hand:,"hand, high 5, high five, raised hand, raised, hand"
:raised_hand_light_skin_tone:,"hand, high 5, high five, light skin tone, raised hand, raised, hand:, light, skin, tone"
:raised_hand_medium-light_skin_tone:,"hand, high 5, high five, medium-light skin tone, raised hand, raised, hand:, medium-light, skin, tone"
:raised_hand_medium_skin_tone:,"hand, high 5, high five, medium skin tone, raised hand, raised, hand:, medium, skin, tone"
:raised_hand_medium-dark_skin_tone:,"hand, high 5, high five, medium-dark skin tone, raised hand, raised, hand:, medium-dark, skin, tone"
:raised_hand_dark_skin_tone:,"dark skin tone, hand, high 5, high five, raised hand, raised, hand:, dark, skin, tone"
:vulcan_salute:,"finger, hand, spock, vulcan, vulcan salute, vulcan, salute"
:vulcan_salute_light_skin_tone:,"finger, hand, light skin tone, spock, vulcan, vulcan salute, vulcan, salute:, light, skin, tone"
:vulcan_salute_medium-light_skin_tone:,"finger, hand, medium-light skin tone, spock, vulcan, vulcan salute, vulcan, salute:, medium-light, skin, tone"
:vulcan_salute_medium_skin_tone:,"finger, hand, medium skin tone, spock, vulcan, vulcan salute, vulcan, salute:, medium, skin, tone"
:vulcan_salute_medium-dark_skin_tone:,"finger, hand, medium-dark skin tone, spock, vulcan, vulcan salute, vulcan, salute:, medium-dark, skin, tone"
:vulcan_salute_dark_skin_tone:,"dark skin tone, finger, hand, spock, vulcan, vulcan salute, vulcan, salute:, dark, skin, tone"
:rightwards_hand:,"hand, right, rightward, rightwards hand, rightwards, hand"
:rightwards_hand_light_skin_tone:,"hand, light skin tone, right, rightward, rightwards hand, rightwards, hand:, light, skin, tone"
:rightwards_hand_medium-light_skin_tone:,"hand, medium-light skin tone, right, rightward, rightwards hand, rightwards, hand:, medium-light, skin, tone"
:rightwards_hand_medium_skin_tone:,"hand, medium skin tone, right, rightward, rightwards hand, rightwards, hand:, medium, skin, tone"
:rightwards_hand_medium-dark_skin_tone:,"hand, medium-dark skin tone, right, rightward, rightwards hand, rightwards, hand:, medium-dark, skin, tone"
:rightwards_hand_dark_skin_tone:,"dark skin tone, hand, right, rightward, rightwards hand, rightwards, hand:, dark, skin, tone"
:leftwards_hand:,"hand, left, leftward, leftwards hand, leftwards, hand"
:leftwards_hand_light_skin_tone:,"hand, left, leftward, leftwards hand, light skin tone, leftwards, hand:, light, skin, tone"
:leftwards_hand_medium-light_skin_tone:,"hand, left, leftward, leftwards hand, medium-light skin tone, leftwards, hand:, medium-light, skin, tone"
:leftwards_hand_medium_skin_tone:,"hand, left, leftward, leftwards hand, medium skin tone, leftwards, hand:, medium, skin, tone"
:leftwards_hand_medium-dark_skin_tone:,"hand, left, leftward, leftwards hand, medium-dark skin tone, leftwards, hand:, medium-dark, skin, tone"
:leftwards_hand_dark_skin_tone:,"dark skin tone, hand, left, leftward, leftwards hand, leftwards, hand:, dark, skin, tone"
:palm_down_hand:,"dismiss, drop, palm down hand, shoo, palm, down, hand"
:palm_down_hand_light_skin_tone:,"dismiss, drop, light skin tone, palm down hand, shoo, palm, down, hand:, light, skin, tone"
:palm_down_hand_medium-light_skin_tone:,"dismiss, drop, medium-light skin tone, palm down hand, shoo, palm, down, hand:, medium-light, skin, tone"
:palm_down_hand_medium_skin_tone:,"dismiss, drop, medium skin tone, palm down hand, shoo, palm, down, hand:, medium, skin, tone"
:palm_down_hand_medium-dark_skin_tone:,"dismiss, drop, medium-dark skin tone, palm down hand, shoo, palm, down, hand:, medium-dark, skin, tone"
:palm_down_hand_dark_skin_tone:,"dark skin tone, dismiss, drop, palm down hand, shoo, palm, down, hand:, dark, skin, tone"
:palm_up_hand:,"beckon, catch, come, offer, palm up hand, palm, up, hand"
:palm_up_hand_light_skin_tone:,"beckon, catch, come, light skin tone, offer, palm up hand, palm, up, hand:, light, skin, tone"
:palm_up_hand_medium-light_skin_tone:,"beckon, catch, come, medium-light skin tone, offer, palm up hand, palm, up, hand:, medium-light, skin, tone"
:palm_up_hand_medium_skin_tone:,"beckon, catch, come, medium skin tone, offer, palm up hand, palm, up, hand:, medium, skin, tone"
:palm_up_hand_medium-dark_skin_tone:,"beckon, catch, come, medium-dark skin tone, offer, palm up hand, palm, up, hand:, medium-dark, skin, tone"
:palm_up_hand_dark_skin_tone:,"beckon, catch, come, dark skin tone, offer, palm up hand, palm, up, hand:, dark, skin, tone"
:leftwards_pushing_hand:,"high five, leftward, leftwards pushing hand, push, refuse, stop, wait, leftwards, pushing, hand"
:leftwards_pushing_hand_light_skin_tone:,"high five, leftward, leftwards pushing hand, light skin tone, push, refuse, stop, wait, leftwards, pushing, hand:, light, skin, tone"
:leftwards_pushing_hand_medium-light_skin_tone:,"high five, leftward, leftwards pushing hand, medium-light skin tone, push, refuse, stop, wait, leftwards, pushing, hand:, medium-light, skin, tone"
:leftwards_pushing_hand_medium_skin_tone:,"high five, leftward, leftwards pushing hand, medium skin tone, push, refuse, stop, wait, leftwards, pushing, hand:, medium, skin, tone"
:leftwards_pushing_hand_medium-dark_skin_tone:,"high five, leftward, leftwards pushing hand, medium-dark skin tone, push, refuse, stop, wait, leftwards, pushing, hand:, medium-dark, skin, tone"
:leftwards_pushing_hand_dark_skin_tone:,"dark skin tone, high five, leftward, leftwards pushing hand, push, refuse, stop, wait, leftwards, pushing, hand:, dark, skin, tone"
:rightwards_pushing_hand:,"high five, push, refuse, rightward, rightwards pushing hand, stop, wait, rightwards, pushing, hand"
:rightwards_pushing_hand_light_skin_tone:,"high five, light skin tone, push, refuse, rightward, rightwards pushing hand, stop, wait, rightwards, pushing, hand:, light, skin, tone"
:rightwards_pushing_hand_medium-light_skin_tone:,"high five, medium-light skin tone, push, refuse, rightward, rightwards pushing hand, stop, wait, rightwards, pushing, hand:, medium-light, skin, tone"
:rightwards_pushing_hand_medium_skin_tone:,"high five, medium skin tone, push, refuse, rightward, rightwards pushing hand, stop, wait, rightwards, pushing, hand:, medium, skin, tone"
:rightwards_pushing_hand_medium-dark_skin_tone:,"high five, medium-dark skin tone, push, refuse, rightward, rightwards pushing hand, stop, wait, rightwards, pushing, hand:, medium-dark, skin, tone"
:rightwards_pushing_hand_dark_skin_tone:,"dark skin tone, high five, push, refuse, rightward, rightwards pushing hand, stop, wait, rightwards, pushing, hand:, dark, skin, tone"
:OK_hand:,"hand, OK, OK, hand"
:OK_hand_light_skin_tone:,"hand, light skin tone, OK, OK, hand:, light, skin, tone"
:OK_hand_medium-light_skin_tone:,"hand, medium-light skin tone, OK, OK, hand:, medium-light, skin, tone"
:OK_hand_medium_skin_tone:,"hand, medium skin tone, OK, OK, hand:, medium, skin, tone"
:OK_hand_medium-dark_skin_tone:,"hand, medium-dark skin tone, OK, OK, hand:, medium-dark, skin, tone"
:OK_hand_dark_skin_tone:,"dark skin tone, hand, OK, OK, hand:, dark, skin, tone"
:pinched_fingers:,"fingers, hand gesture, interrogation, pinched, sarcastic, pinched, fingers"
:pinched_fingers_light_skin_tone:,"fingers, hand gesture, interrogation, light skin tone, pinched, sarcastic, pinched, fingers:, light, skin, tone"
:pinched_fingers_medium-light_skin_tone:,"fingers, hand gesture, interrogation, medium-light skin tone, pinched, sarcastic, pinched, fingers:, medium-light, skin, tone"
:pinched_fingers_medium_skin_tone:,"fingers, hand gesture, interrogation, medium skin tone, pinched, sarcastic, pinched, fingers:, medium, skin, tone"
:pinched_fingers_medium-dark_skin_tone:,"fingers, hand gesture, interrogation, medium-dark skin tone, pinched, sarcastic, pinched, fingers:, medium-dark, skin, tone"
:pinched_fingers_dark_skin_tone:,"dark skin tone, fingers, hand gesture, interrogation, pinched, sarcastic, pinched, fingers:, dark, skin, tone"
:pinching_hand:,"pinching hand, small amount, pinching, hand"
:pinching_hand_light_skin_tone:,"light skin tone, pinching hand, small amount, pinching, hand:, light, skin, tone"
:pinching_hand_medium-light_skin_tone:,"medium-light skin tone, pinching hand, small amount, pinching, hand:, medium-light, skin, tone"
:pinching_hand_medium_skin_tone:,"medium skin tone, pinching hand, small amount, pinching, hand:, medium, skin, tone"
:pinching_hand_medium-dark_skin_tone:,"medium-dark skin tone, pinching hand, small amount, pinching, hand:, medium-dark, skin, tone"
:pinching_hand_dark_skin_tone:,"dark skin tone, pinching hand, small amount, pinching, hand:, dark, skin, tone"
:victory_hand:,"hand, v, victory, victory, hand"
:victory_hand_light_skin_tone:,"hand, light skin tone, v, victory, victory, hand:, light, skin, tone"
:victory_hand_medium-light_skin_tone:,"hand, medium-light skin tone, v, victory, victory, hand:, medium-light, skin, tone"
:victory_hand_medium_skin_tone:,"hand, medium skin tone, v, victory, victory, hand:, medium, skin, tone"
:victory_hand_medium-dark_skin_tone:,"hand, medium-dark skin tone, v, victory, victory, hand:, medium-dark, skin, tone"
:victory_hand_dark_skin_tone:,"dark skin tone, hand, v, victory, victory, hand:, dark, skin, tone"
:crossed_fingers:,"cross, crossed fingers, finger, hand, luck, crossed, fingers"
:crossed_fingers_light_skin_tone:,"cross, crossed fingers, finger, hand, light skin tone, luck, crossed, fingers:, light, skin, tone"
:crossed_fingers_medium-light_skin_tone:,"cross, crossed fingers, finger, hand, luck, medium-light skin tone, crossed, fingers:, medium-light, skin, tone"
:crossed_fingers_medium_skin_tone:,"cross, crossed fingers, finger, hand, luck, medium skin tone, crossed, fingers:, medium, skin, tone"
:crossed_fingers_medium-dark_skin_tone:,"cross, crossed fingers, finger, hand, luck, medium-dark skin tone, crossed, fingers:, medium-dark, skin, tone"
:crossed_fingers_dark_skin_tone:,"cross, crossed fingers, dark skin tone, finger, hand, luck, crossed, fingers:, dark, skin, tone"
:hand_with_index_finger_and_thumb_crossed:,"expensive, hand with index finger and thumb crossed, heart, love, money, snap, hand, with, index, finger, and, thumb, crossed"
:hand_with_index_finger_and_thumb_crossed_light_skin_tone:,"expensive, hand with index finger and thumb crossed, heart, light skin tone, love, money, snap, hand, with, index, finger, and, thumb, crossed:, light, skin, tone"
:hand_with_index_finger_and_thumb_crossed_medium-light_skin_tone:,"expensive, hand with index finger and thumb crossed, heart, love, medium-light skin tone, money, snap, hand, with, index, finger, and, thumb, crossed:, medium-light, skin, tone"
:hand_with_index_finger_and_thumb_crossed_medium_skin_tone:,"expensive, hand with index finger and thumb crossed, heart, love, medium skin tone, money, snap, hand, with, index, finger, and, thumb, crossed:, medium, skin, tone"
:hand_with_index_finger_and_thumb_crossed_medium-dark_skin_tone:,"expensive, hand with index finger and thumb crossed, heart, love, medium-dark skin tone, money, snap, hand, with, index, finger, and, thumb, crossed:, medium-dark, skin, tone"
:hand_with_index_finger_and_thumb_crossed_dark_skin_tone:,"dark skin tone, expensive, hand with index finger and thumb crossed, heart, love, money, snap, hand, with, index, finger, and, thumb, crossed:, dark, skin, tone"
:love-you_gesture:,"hand, ILY, love-you gesture, love-you, gesture"
:love-you_gesture_light_skin_tone:,"hand, ILY, light skin tone, love-you gesture, love-you, gesture:, light, skin, tone"
:love-you_gesture_medium-light_skin_tone:,"hand, ILY, love-you gesture, medium-light skin tone, love-you, gesture:, medium-light, skin, tone"
:love-you_gesture_medium_skin_tone:,"hand, ILY, love-you gesture, medium skin tone, love-you, gesture:, medium, skin, tone"
:love-you_gesture_medium-dark_skin_tone:,"hand, ILY, love-you gesture, medium-dark skin tone, love-you, gesture:, medium-dark, skin, tone"
:love-you_gesture_dark_skin_tone:,"dark skin tone, hand, ILY, love-you gesture, love-you, gesture:, dark, skin, tone"
:sign_of_the_horns:,"finger, hand, horns, rock-on, sign of the horns, sign, of, the, horns"
:sign_of_the_horns_light_skin_tone:,"finger, hand, horns, light skin tone, rock-on, sign of the horns, sign, of, the, horns:, light, skin, tone"
:sign_of_the_horns_medium-light_skin_tone:,"finger, hand, horns, medium-light skin tone, rock-on, sign of the horns, sign, of, the, horns:, medium-light, skin, tone"
:sign_of_the_horns_medium_skin_tone:,"finger, hand, horns, medium skin tone, rock-on, sign of the horns, sign, of, the, horns:, medium, skin, tone"
:sign_of_the_horns_medium-dark_skin_tone:,"finger, hand, horns, medium-dark skin tone, rock-on, sign of the horns, sign, of, the, horns:, medium-dark, skin, tone"
:sign_of_the_horns_dark_skin_tone:,"dark skin tone, finger, hand, horns, rock-on, sign of the horns, sign, of, the, horns:, dark, skin, tone"
:call_me_hand:,"call, call me hand, hand, hang loose, Shaka, call, me, hand"
:call_me_hand_light_skin_tone:,"call, call me hand, hand, hang loose, light skin tone, Shaka, call, me, hand:, light, skin, tone"
