demojized,description
:woman_frowning:,"frowning, gesture, woman, woman, frowning"
:woman_frowning_light_skin_tone:,"frowning, gesture, light skin tone, woman, woman, frowning:, light, skin, tone"
:woman_frowning_medium-light_skin_tone:,"frowning, gesture, medium-light skin tone, woman, woman, frowning:, medium-light, skin, tone"
:woman_frowning_medium_skin_tone:,"frowning, gesture, medium skin tone, woman, woman, frowning:, medium, skin, tone"
:woman_frowning_medium-dark_skin_tone:,"frowning, gesture, medium-dark skin tone, woman, woman, frowning:, medium-dark, skin, tone"
:woman_frowning_dark_skin_tone:,"dark skin tone, frowning, gesture, woman, woman, frowning:, dark, skin, tone"
:person_pouting:,"gesture, person pouting, pouting, person, pouting"
:person_pouting_light_skin_tone:,"gesture, light skin tone, person pouting, pouting, person, pouting:, light, skin, tone"
:person_pouting_medium-light_skin_tone:,"gesture, medium-light skin tone, person pouting, pouting, person, pouting:, medium-light, skin, tone"
:person_pouting_medium_skin_tone:,"gesture, medium skin tone, person pouting, pouting, person, pouting:, medium, skin, tone"
:person_pouting_medium-dark_skin_tone:,"gesture, medium-dark skin tone, person pouting, pouting, person, pouting:, medium-dark, skin, tone"
:person_pouting_dark_skin_tone:,"dark skin tone, gesture, person pouting, pouting, person, pouting:, dark, skin, tone"
:man_pouting:,"gesture, man, pouting, man, pouting"
:man_pouting_light_skin_tone:,"gesture, light skin tone, man, pouting, man, pouting:, light, skin, tone"
:man_pouting_medium-light_skin_tone:,"gesture, man, medium-light skin tone, pouting, man, pouting:, medium-light, skin, tone"
:man_pouting_medium_skin_tone:,"gesture, man, medium skin tone, pouting, man, pouting:, medium, skin, tone"
:man_pouting_medium-dark_skin_tone:,"gesture, man, medium-dark skin tone, pouting, man, pouting:, medium-dark, skin, tone"
:man_pouting_dark_skin_tone:,"dark skin tone, gesture, man, pouting, man, pouting:, dark, skin, tone"
:woman_pouting:,"gesture, pouting, woman, woman, pouting"
:woman_pouting_light_skin_tone:,"gesture, light skin tone, pouting, woman, woman, pouting:, light, skin, tone"
:woman_pouting_medium-light_skin_tone:,"gesture, medium-light skin tone, pouting, woman, woman, pouting:, medium-light, skin, tone"
:woman_pouting_medium_skin_tone:,"gesture, medium skin tone, pouting, woman, woman, pouting:, medium, skin, tone"
:woman_pouting_medium-dark_skin_tone:,"gesture, medium-dark skin tone, pouting, woman, woman, pouting:, medium-dark, skin, tone"
:woman_pouting_dark_skin_tone:,"dark skin tone, gesture, pouting, woman, woman, pouting:, dark, skin, tone"
:person_gesturing_NO:,"forbidden, gesture, hand, person gesturing NO, prohibited, person, gesturing, NO"
:person_gesturing_NO_light_skin_tone:,"forbidden, gesture, hand, light skin tone, person gesturing NO, prohibited, person, gesturing, NO:, light, skin, tone"
:person_gesturing_NO_medium-light_skin_tone:,"forbidden, gesture, hand, medium-light skin tone, person gesturing NO, prohibited, person, gesturing, NO:, medium-light, skin, tone"
:person_gesturing_NO_medium_skin_tone:,"forbidden, gesture, hand, medium skin tone, person gesturing NO, prohibited, person, gesturing, NO:, medium, skin, tone"
:person_gesturing_NO_medium-dark_skin_tone:,"forbidden, gesture, hand, medium-dark skin tone, person gesturing NO, prohibited, person, gesturing, NO:, medium-dark, skin, tone"
:person_gesturing_NO_dark_skin_tone:,"dark skin tone, forbidden, gesture, hand, person gesturing NO, prohibited, person, gesturing, NO:, dark, skin, tone"
:man_gesturing_NO:,"forbidden, gesture, hand, man, man gesturing NO, prohibited, man, gesturing, NO"
:man_gesturing_NO_light_skin_tone:,"forbidden, gesture, hand, light skin tone, man, man gesturing NO, prohibited, man, gesturing, NO:, light, skin, tone"
:man_gesturing_NO_medium-light_skin_tone:,"forbidden, gesture, hand, man, man gesturing NO, medium-light skin tone, prohibited, man, gesturing, NO:, medium-light, skin, tone"
:man_gesturing_NO_medium_skin_tone:,"forbidden, gesture, hand, man, man gesturing NO, medium skin tone, prohibited, man, gesturing, NO:, medium, skin, tone"
:man_gesturing_NO_medium-dark_skin_tone:,"forbidden, gesture, hand, man, man gesturing NO, medium-dark skin tone, prohibited, man, gesturing, NO:, medium-dark, skin, tone"
:man_gesturing_NO_dark_skin_tone:,"dark skin tone, forbidden, gesture, hand, man, man gesturing NO, prohibited, man, gesturing, NO:, dark, skin, tone"
:woman_gesturing_NO:,"forbidden, gesture, hand, prohibited, woman, woman gesturing NO, woman, gesturing, NO"
:woman_gesturing_NO_light_skin_tone:,"forbidden, gesture, hand, light skin tone, prohibited, woman, woman gesturing NO, woman, gesturing, NO:, light, skin, tone"
:woman_gesturing_NO_medium-light_skin_tone:,"forbidden, gesture, hand, medium-light skin tone, prohibited, woman, woman gesturing NO, woman, gesturing, NO:, medium-light, skin, tone"
:woman_gesturing_NO_medium_skin_tone:,"forbidden, gesture, hand, medium skin tone, prohibited, woman, woman gesturing NO, woman, gesturing, NO:, medium, skin, tone"
:woman_gesturing_NO_medium-dark_skin_tone:,"forbidden, gesture, hand, medium-dark skin tone, prohibited, woman, woman gesturing NO, woman, gesturing, NO:, medium-dark, skin, tone"
:woman_gesturing_NO_dark_skin_tone:,"dark skin tone, forbidden, gesture, hand, prohibited, woman, woman gesturing NO, woman, gesturing, NO:, dark, skin, tone"
:person_gesturing_OK:,"gesture, hand, OK, person gesturing OK, person, gesturing, OK"
:person_gesturing_OK_light_skin_tone:,"gesture, hand, light skin tone, OK, person gesturing OK, person, gesturing, OK:, light, skin, tone"
:person_gesturing_OK_medium-light_skin_tone:,"gesture, hand, medium-light skin tone, OK, person gesturing OK, person, gesturing, OK:, medium-light, skin, tone"
:person_gesturing_OK_medium_skin_tone:,"gesture, hand, medium skin tone, OK, person gesturing OK, person, gesturing, OK:, medium, skin, tone"
:person_gesturing_OK_medium-dark_skin_tone:,"gesture, hand, medium-dark skin tone, OK, person gesturing OK, person, gesturing, OK:, medium-dark, skin, tone"
:person_gesturing_OK_dark_skin_tone:,"dark skin tone, gesture, hand, OK, person gesturing OK, person, gesturing, OK:, dark, skin, tone"
:man_gesturing_OK:,"gesture, hand, man, man gesturing OK, OK, man, gesturing, OK"
:man_gesturing_OK_light_skin_tone:,"gesture, hand, light skin tone, man, man gesturing OK, OK, man, gesturing, OK:, light, skin, tone"
:man_gesturing_OK_medium-light_skin_tone:,"gesture, hand, man, man gesturing OK, medium-light skin tone, OK, man, gesturing, OK:, medium-light, skin, tone"
:man_gesturing_OK_medium_skin_tone:,"gesture, hand, man, man gesturing OK, medium skin tone, OK, man, gesturing, OK:, medium, skin, tone"
:man_gesturing_OK_medium-dark_skin_tone:,"gesture, hand, man, man gesturing OK, medium-dark skin tone, OK, man, gesturing, OK:, medium-dark, skin, tone"
:man_gesturing_OK_dark_skin_tone:,"dark skin tone, gesture, hand, man, man gesturing OK, OK, man, gesturing, OK:, dark, skin, tone"
:woman_gesturing_OK:,"gesture, hand, OK, woman, woman gesturing OK, woman, gesturing, OK"
:woman_gesturing_OK_light_skin_tone:,"gesture, hand, light skin tone, OK, woman, woman gesturing OK, woman, gesturing, OK:, light, skin, tone"
:woman_gesturing_OK_medium-light_skin_tone:,"gesture, hand, medium-light skin tone, OK, woman, woman gesturing OK, woman, gesturing, OK:, medium-light, skin, tone"
:woman_gesturing_OK_medium_skin_tone:,"gesture, hand, medium skin tone, OK, woman, woman gesturing OK, woman, gesturing, OK:, medium, skin, tone"
:woman_gesturing_OK_medium-dark_skin_tone:,"gesture, hand, medium-dark skin tone, OK, woman, woman gesturing OK, woman, gesturing, OK:, medium-dark, skin, tone"
:woman_gesturing_OK_dark_skin_tone:,"dark skin tone, gesture, hand, OK, woman, woman gesturing OK, woman, gesturing, OK:, dark, skin, tone"
:person_tipping_hand:,"hand, help, information, person tipping hand, sassy, tipping, person, tipping, hand"
:person_tipping_hand_light_skin_tone:,"hand, help, information, light skin tone, person tipping hand, sassy, tipping, person, tipping, hand:, light, skin, tone"
:person_tipping_hand_medium-light_skin_tone:,"hand, help, information, medium-light skin tone, person tipping hand, sassy, tipping, person, tipping, hand:, medium-light, skin, tone"
:person_tipping_hand_medium_skin_tone:,"hand, help, information, medium skin tone, person tipping hand, sassy, tipping, person, tipping, hand:, medium, skin, tone"
:person_tipping_hand_medium-dark_skin_tone:,"hand, help, information, medium-dark skin tone, person tipping hand, sassy, tipping, person, tipping, hand:, medium-dark, skin, tone"
:person_tipping_hand_dark_skin_tone:,"dark skin tone, hand, help, information, person tipping hand, sassy, tipping, person, tipping, hand:, dark, skin, tone"
:man_tipping_hand:,"man, man tipping hand, sassy, tipping hand, man, tipping, hand"
:man_tipping_hand_light_skin_tone:,"light skin tone, man, man tipping hand, sassy, tipping hand, man, tipping, hand:, light, skin, tone"
:man_tipping_hand_medium-light_skin_tone:,"man, man tipping hand, medium-light skin tone, sassy, tipping hand, man, tipping, hand:, medium-light, skin, tone"
:man_tipping_hand_medium_skin_tone:,"man, man tipping hand, medium skin tone, sassy, tipping hand, man, tipping, hand:, medium, skin, tone"
:man_tipping_hand_medium-dark_skin_tone:,"man, man tipping hand, medium-dark skin tone, sassy, tipping hand, man, tipping, hand:, medium-dark, skin, tone"
:man_tipping_hand_dark_skin_tone:,"dark skin tone, man, man tipping hand, sassy, tipping hand, man, tipping, hand:, dark, skin, tone"
:woman_tipping_hand:,"sassy, tipping hand, woman, woman tipping hand, woman, tipping, hand"
:woman_tipping_hand_light_skin_tone:,"light skin tone, sassy, tipping hand, woman, woman tipping hand, woman, tipping, hand:, light, skin, tone"
:woman_tipping_hand_medium-light_skin_tone:,"medium-light skin tone, sassy, tipping hand, woman, woman tipping hand, woman, tipping, hand:, medium-light, skin, tone"
:woman_tipping_hand_medium_skin_tone:,"medium skin tone, sassy, tipping hand, woman, woman tipping hand, woman, tipping, hand:, medium, skin, tone"
:woman_tipping_hand_medium-dark_skin_tone:,"medium-dark skin tone, sassy, tipping hand, woman, woman tipping hand, woman, tipping, hand:, medium-dark, skin, tone"
:woman_tipping_hand_dark_skin_tone:,"dark skin tone, sassy, tipping hand, woman, woman tipping hand, woman, tipping, hand:, dark, skin, tone"
:person_raising_hand:,"gesture, hand, happy, person raising hand, raised, person, raising, hand"
:person_raising_hand_light_skin_tone:,"gesture, hand, happy, light skin tone, person raising hand, raised, person, raising, hand:, light, skin, tone"
:person_raising_hand_medium-light_skin_tone:,"gesture, hand, happy, medium-light skin tone, person raising hand, raised, person, raising, hand:, medium-light, skin, tone"
:person_raising_hand_medium_skin_tone:,"gesture, hand, happy, medium skin tone, person raising hand, raised, person, raising, hand:, medium, skin, tone"
:person_raising_hand_medium-dark_skin_tone:,"gesture, hand, happy, medium-dark skin tone, person raising hand, raised, person, raising, hand:, medium-dark, skin, tone"
:person_raising_hand_dark_skin_tone:,"dark skin tone, gesture, hand, happy, person raising hand, raised, person, raising, hand:, dark, skin, tone"
:man_raising_hand:,"gesture, man, man raising hand, raising hand, man, raising, hand"
:man_raising_hand_light_skin_tone:,"gesture, light skin tone, man, man raising hand, raising hand, man, raising, hand:, light, skin, tone"
:man_raising_hand_medium-light_skin_tone:,"gesture, man, man raising hand, medium-light skin tone, raising hand, man, raising, hand:, medium-light, skin, tone"
:man_raising_hand_medium_skin_tone:,"gesture, man, man raising hand, medium skin tone, raising hand, man, raising, hand:, medium, skin, tone"
:man_raising_hand_medium-dark_skin_tone:,"gesture, man, man raising hand, medium-dark skin tone, raising hand, man, raising, hand:, medium-dark, skin, tone"
:man_raising_hand_dark_skin_tone:,"dark skin tone, gesture, man, man raising hand, raising hand, man, raising, hand:, dark, skin, tone"
:woman_raising_hand:,"gesture, raising hand, woman, woman raising hand, woman, raising, hand"
:woman_raising_hand_light_skin_tone:,"gesture, light skin tone, raising hand, woman, woman raising hand, woman, raising, hand:, light, skin, tone"
:woman_raising_hand_medium-light_skin_tone:,"gesture, medium-light skin tone, raising hand, woman, woman raising hand, woman, raising, hand:, medium-light, skin, tone"
:woman_raising_hand_medium_skin_tone:,"gesture, medium skin tone, raising hand, woman, woman raising hand, woman, raising, hand:, medium, skin, tone"
:woman_raising_hand_medium-dark_skin_tone:,"gesture, medium-dark skin tone, raising hand, woman, woman raising hand, woman, raising, hand:, medium-dark, skin, tone"
:woman_raising_hand_dark_skin_tone:,"dark skin tone, gesture, raising hand, woman, woman raising hand, woman, raising, hand:, dark, skin, tone"
:deaf_person:,"accessibility, deaf, deaf person, ear, hear, deaf, person"
:deaf_person_light_skin_tone:,"accessibility, deaf, deaf person, ear, hear, light skin tone, deaf, person:, light, skin, tone"
:deaf_person_medium-light_skin_tone:,"accessibility, deaf, deaf person, ear, hear, medium-light skin tone, deaf, person:, medium-light, skin, tone"
:deaf_person_medium_skin_tone:,"accessibility, deaf, deaf person, ear, hear, medium skin tone, deaf, person:, medium, skin, tone"
:deaf_person_medium-dark_skin_tone:,"accessibility, deaf, deaf person, ear, hear, medium-dark skin tone, deaf, person:, medium-dark, skin, tone"
:deaf_person_dark_skin_tone:,"accessibility, dark skin tone, deaf, deaf person, ear, hear, deaf, person:, dark, skin, tone"
:deaf_man:,"deaf, man, deaf, man"
:deaf_man_light_skin_tone:,"deaf, light skin tone, man, deaf, man:, light, skin, tone"
:deaf_man_medium-light_skin_tone:,"deaf, man, medium-light skin tone, deaf, man:, medium-light, skin, tone"
:deaf_man_medium_skin_tone:,"deaf, man, medium skin tone, deaf, man:, medium, skin, tone"
:deaf_man_medium-dark_skin_tone:,"deaf, man, medium-dark skin tone, deaf, man:, medium-dark, skin, tone"
:deaf_man_dark_skin_tone:,"dark skin tone, deaf, man, deaf, man:, dark, skin, tone"
:deaf_woman:,"deaf, woman, deaf, woman"
:deaf_woman_light_skin_tone:,"deaf, light skin tone, woman, deaf, woman:, light, skin, tone"
:deaf_woman_medium-light_skin_tone:,"deaf, medium-light skin tone, woman, deaf, woman:, medium-light, skin, tone"
:deaf_woman_medium_skin_tone:,"deaf, medium skin tone, woman, deaf, woman:, medium, skin, tone"
:deaf_woman_medium-dark_skin_tone:,"deaf, medium-dark skin tone, woman, deaf, woman:, medium-dark, skin, tone"
:deaf_woman_dark_skin_tone:,"dark skin tone, deaf, woman, deaf, woman:, dark, skin, tone"
:person_bowing:,"apology, bow, gesture, person bowing, sorry, person, bowing"
:person_bowing_light_skin_tone:,"apology, bow, gesture, light skin tone, person bowing, sorry, person, bowing:, light, skin, tone"
:person_bowing_medium-light_skin_tone:,"apology, bow, gesture, medium-light skin tone, person bowing, sorry, person, bowing:, medium-light, skin, tone"
:person_bowing_medium_skin_tone:,"apology, bow, gesture, medium skin tone, person bowing, sorry, person, bowing:, medium, skin, tone"
:person_bowing_medium-dark_skin_tone:,"apology, bow, gesture, medium-dark skin tone, person bowing, sorry, person, bowing:, medium-dark, skin, tone"
:person_bowing_dark_skin_tone:,"apology, bow, dark skin tone, gesture, person bowing, sorry, person, bowing:, dark, skin, tone"
:man_bowing:,"apology, bowing, favor, gesture, man, sorry, man, bowing"
:man_bowing_light_skin_tone:,"apology, bowing, favor, gesture, light skin tone, man, sorry, man, bowing:, light, skin, tone"
:man_bowing_medium-light_skin_tone:,"apology, bowing, favor, gesture, man, medium-light skin tone, sorry, man, bowing:, medium-light, skin, tone"
:man_bowing_medium_skin_tone:,"apology, bowing, favor, gesture, man, medium skin tone, sorry, man, bowing:, medium, skin, tone"
:man_bowing_medium-dark_skin_tone:,"apology, bowing, favor, gesture, man, medium-dark skin tone, sorry, man, bowing:, medium-dark, skin, tone"
:man_bowing_dark_skin_tone:,"apology, bowing, dark skin tone, favor, gesture, man, sorry, man, bowing:, dark, skin, tone"
:woman_bowing:,"apology, bowing, favor, gesture, sorry, woman, woman, bowing"
:woman_bowing_light_skin_tone:,"apology, bowing, favor, gesture, light skin tone, sorry, woman, woman, bowing:, light, skin, tone"
:woman_bowing_medium-light_skin_tone:,"apology, bowing, favor, gesture, medium-light skin tone, sorry, woman, woman, bowing:, medium-light, skin, tone"
:woman_bowing_medium_skin_tone:,"apology, bowing, favor, gesture, medium skin tone, sorry, woman, woman, bowing:, medium, skin, tone"
:woman_bowing_medium-dark_skin_tone:,"apology, bowing, favor, gesture, medium-dark skin tone, sorry, woman, woman, bowing:, medium-dark, skin, tone"
:woman_bowing_dark_skin_tone:,"apology, bowing, dark skin tone, favor, gesture, sorry, woman, woman, bowing:, dark, skin, tone"
:person_facepalming:,"disbelief, exasperation, face, palm, person facepalming, person, facepalming"
:person_facepalming_light_skin_tone:,"disbelief, exasperation, face, light skin tone, palm, person facepalming, person, facepalming:, light, skin, tone"
:person_facepalming_medium-light_skin_tone:,"disbelief, exasperation, face, medium-light skin tone, palm, person facepalming, person, facepalming:, medium-light, skin, tone"
:person_facepalming_medium_skin_tone:,"disbelief, exasperation, face, medium skin tone, palm, person facepalming, person, facepalming:, medium, skin, tone"
:person_facepalming_medium-dark_skin_tone:,"disbelief, exasperation, face, medium-dark skin tone, palm, person facepalming, person, facepalming:, medium-dark, skin, tone"
:person_facepalming_dark_skin_tone:,"dark skin tone, disbelief, exasperation, face, palm, person facepalming, person, facepalming:, dark, skin, tone"
:man_facepalming:,"disbelief, exasperation, facepalm, man, man facepalming, man, facepalming"
:man_facepalming_light_skin_tone:,"disbelief, exasperation, facepalm, light skin tone, man, man facepalming, man, facepalming:, light, skin, tone"
:man_facepalming_medium-light_skin_tone:,"disbelief, exasperation, facepalm, man, man facepalming, medium-light skin tone, man, facepalming:, medium-light, skin, tone"
:man_facepalming_medium_skin_tone:,"disbelief, exasperation, facepalm, man, man facepalming, medium skin tone, man, facepalming:, medium, skin, tone"
:man_facepalming_medium-dark_skin_tone:,"disbelief, exasperation, facepalm, man, man facepalming, medium-dark skin tone, man, facepalming:, medium-dark, skin, tone"
:man_facepalming_dark_skin_tone:,"dark skin tone, disbelief, exasperation, facepalm, man, man facepalming, man, facepalming:, dark, skin, tone"
:woman_facepalming:,"disbelief, exasperation, facepalm, woman, woman facepalming, woman, facepalming"
:woman_facepalming_light_skin_tone:,"disbelief, exasperation, facepalm, light skin tone, woman, woman facepalming, woman, facepalming:, light, skin, tone"
:woman_facepalming_medium-light_skin_tone:,"disbelief, exasperation, facepalm, medium-light skin tone, woman, woman facepalming, woman, facepalming:, medium-light, skin, tone"
:woman_facepalming_medium_skin_tone:,"disbelief, exasperation, facepalm, medium skin tone, woman, woman facepalming, woman, facepalming:, medium, skin, tone"
:woman_facepalming_medium-dark_skin_tone:,"disbelief, exasperation, facepalm, medium-dark skin tone, woman, woman facepalming, woman, facepalming:, medium-dark, skin, tone"
:woman_facepalming_dark_skin_tone:,"dark skin tone, disbelief, exasperation, facepalm, woman, woman facepalming, woman, facepalming:, dark, skin, tone"
:person_shrugging:,"doubt, ignorance, indifference, person shrugging, shrug, person, shrugging"
:person_shrugging_light_skin_tone:,"doubt, ignorance, indifference, light skin tone, person shrugging, shrug, person, shrugging:, light, skin, tone"
:person_shrugging_medium-light_skin_tone:,"doubt, ignorance, indifference, medium-light skin tone, person shrugging, shrug, person, shrugging:, medium-light, skin, tone"
:person_shrugging_medium_skin_tone:,"doubt, ignorance, indifference, medium skin tone, person shrugging, shrug, person, shrugging:, medium, skin, tone"
:person_shrugging_medium-dark_skin_tone:,"doubt, ignorance, indifference, medium-dark skin tone, person shrugging, shrug, person, shrugging:, medium-dark, skin, tone"
:person_shrugging_dark_skin_tone:,"dark skin tone, doubt, ignorance, indifference, person shrugging, shrug, person, shrugging:, dark, skin, tone"
:man_shrugging:,"doubt, ignorance, indifference, man, man shrugging, shrug, man, shrugging"
:man_shrugging_light_skin_tone:,"doubt, ignorance, indifference, light skin tone, man, man shrugging, shrug, man, shrugging:, light, skin, tone"
:man_shrugging_medium-light_skin_tone:,"doubt, ignorance, indifference, man, man shrugging, medium-light skin tone, shrug, man, shrugging:, medium-light, skin, tone"
:man_shrugging_medium_skin_tone:,"doubt, ignorance, indifference, man, man shrugging, medium skin tone, shrug, man, shrugging:, medium, skin, tone"
:man_shrugging_medium-dark_skin_tone:,"doubt, ignorance, indifference, man, man shrugging, medium-dark skin tone, shrug, man, shrugging:, medium-dark, skin, tone"
:man_shrugging_dark_skin_tone:,"dark skin tone, doubt, ignorance, indifference, man, man shrugging, shrug, man, shrugging:, dark, skin, tone"
:woman_shrugging:,"doubt, ignorance, indifference, shrug, woman, woman shrugging, woman, shrugging"
:woman_shrugging_light_skin_tone:,"doubt, ignorance, indifference, light skin tone, shrug, woman, woman shrugging, woman, shrugging:, light, skin, tone"
:woman_shrugging_medium-light_skin_tone:,"doubt, ignorance, indifference, medium-light skin tone, shrug, woman, woman shrugging, woman, shrugging:, medium-light, skin, tone"
:woman_shrugging_medium_skin_tone:,"doubt, ignorance, indifference, medium skin tone, shrug, woman, woman shrugging, woman, shrugging:, medium, skin, tone"
:woman_shrugging_medium-dark_skin_tone:,"doubt, ignorance, indifference, medium-dark skin tone, shrug, woman, woman shrugging, woman, shrugging:, medium-dark, skin, tone"
:woman_shrugging_dark_skin_tone:,"dark skin tone, doubt, ignorance, indifference, shrug, woman, woman shrugging, woman, shrugging:, dark, skin, tone"
:health_worker:,"doctor, health worker, healthcare, nurse, therapist, health, worker"
:health_worker_light_skin_tone:,"doctor, health worker, healthcare, light skin tone, nurse, therapist, health, worker:, light, skin, tone"
:health_worker_medium-light_skin_tone:,"doctor, health worker, healthcare, medium-light skin tone, nurse, therapist, health, worker:, medium-light, skin, tone"
:health_worker_medium_skin_tone:,"doctor, health worker, healthcare, medium skin tone, nurse, therapist, health, worker:, medium, skin, tone"
:health_worker_medium-dark_skin_tone:,"doctor, health worker, healthcare, medium-dark skin tone, nurse, therapist, health, worker:, medium-dark, skin, tone"
:health_worker_dark_skin_tone:,"dark skin tone, doctor, health worker, healthcare, nurse, therapist, health, worker:, dark, skin, tone"
:man_health_worker:,"doctor, healthcare, man, man health worker, nurse, therapist, man, health, worker"
:man_health_worker_light_skin_tone:,"doctor, healthcare, light skin tone, man, man health worker, nurse, therapist, man, health, worker:, light, skin, tone"
:man_health_worker_medium-light_skin_tone:,"doctor, healthcare, man, man health worker, medium-light skin tone, nurse, therapist, man, health, worker:, medium-light, skin, tone"
:man_health_worker_medium_skin_tone:,"doctor, healthcare, man, man health worker, medium skin tone, nurse, therapist, man, health, worker:, medium, skin, tone"
:man_health_worker_medium-dark_skin_tone:,"doctor, healthcare, man, man health worker, medium-dark skin tone, nurse, therapist, man, health, worker:, medium-dark, skin, tone"
:man_health_worker_dark_skin_tone:,"dark skin tone, doctor, healthcare, man, man health worker, nurse, therapist, man, health, worker:, dark, skin, tone"
:woman_health_worker:,"doctor, healthcare, nurse, therapist, woman, woman health worker, woman, health, worker"
:woman_health_worker_light_skin_tone:,"doctor, healthcare, light skin tone, nurse, therapist, woman, woman health worker, woman, health, worker:, light, skin, tone"
:woman_health_worker_medium-light_skin_tone:,"doctor, healthcare, medium-light skin tone, nurse, therapist, woman, woman health worker, woman, health, worker:, medium-light, skin, tone"
:woman_health_worker_medium_skin_tone:,"doctor, healthcare, medium skin tone, nurse, therapist, woman, woman health worker, woman, health, worker:, medium, skin, tone"
:woman_health_worker_medium-dark_skin_tone:,"doctor, healthcare, medium-dark skin tone, nurse, therapist, woman, woman health worker, woman, health, worker:, medium-dark, skin, tone"
:woman_health_worker_dark_skin_tone:,"dark skin tone, doctor, healthcare, nurse, therapist, woman, woman health worker, woman, health, worker:, dark, skin, tone"
:student:,"graduate, student, student"
:student_light_skin_tone:,"graduate, light skin tone, student, student:, light, skin, tone"
:student_medium-light_skin_tone:,"graduate, medium-light skin tone, student, student:, medium-light, skin, tone"
:student_medium_skin_tone:,"graduate, medium skin tone, student, student:, medium, skin, tone"
:student_medium-dark_skin_tone:,"graduate, medium-dark skin tone, student, student:, medium-dark, skin, tone"
:student_dark_skin_tone:,"dark skin tone, graduate, student, student:, dark, skin, tone"
:man_student:,"graduate, man, student, man, student"
:man_student_light_skin_tone:,"graduate, light skin tone, man, student, man, student:, light, skin, tone"
:man_student_medium-light_skin_tone:,"graduate, man, medium-light skin tone, student, man, student:, medium-light, skin, tone"
:man_student_medium_skin_tone:,"graduate, man, medium skin tone, student, man, student:, medium, skin, tone"
:man_student_medium-dark_skin_tone:,"graduate, man, medium-dark skin tone, student, man, student:, medium-dark, skin, tone"
:man_student_dark_skin_tone:,"dark skin tone, graduate, man, student, man, student:, dark, skin, tone"
:woman_student:,"graduate, student, woman, woman, student"
:woman_student_light_skin_tone:,"graduate, light skin tone, student, woman, woman, student:, light, skin, tone"
:woman_student_medium-light_skin_tone:,"graduate, medium-light skin tone, student, woman, woman, student:, medium-light, skin, tone"
:woman_student_medium_skin_tone:,"graduate, medium skin tone, student, woman, woman, student:, medium, skin, tone"
:woman_student_medium-dark_skin_tone:,"graduate, medium-dark skin tone, student, woman, woman, student:, medium-dark, skin, tone"
:woman_student_dark_skin_tone:,"dark skin tone, graduate, student, woman, woman, student:, dark, skin, tone"
:teacher:,"instructor, professor, teacher, teacher"
:teacher_light_skin_tone:,"instructor, light skin tone, professor, teacher, teacher:, light, skin, tone"
:teacher_medium-light_skin_tone:,"instructor, medium-light skin tone, professor, teacher, teacher:, medium-light, skin, tone"
:teacher_medium_skin_tone:,"instructor, medium skin tone, professor, teacher, teacher:, medium, skin, tone"
:teacher_medium-dark_skin_tone:,"instructor, medium-dark skin tone, professor, teacher, teacher:, medium-dark, skin, tone"
:teacher_dark_skin_tone:,"dark skin tone, instructor, professor, teacher, teacher:, dark, skin, tone"
:man_teacher:,"instructor, man, professor, teacher, man, teacher"
:man_teacher_light_skin_tone:,"instructor, light skin tone, man, professor, teacher, man, teacher:, light, skin, tone"
:man_teacher_medium-light_skin_tone:,"instructor, man, medium-light skin tone, professor, teacher, man, teacher:, medium-light, skin, tone"
:man_teacher_medium_skin_tone:,"instructor, man, medium skin tone, professor, teacher, man, teacher:, medium, skin, tone"
:man_teacher_medium-dark_skin_tone:,"instructor, man, medium-dark skin tone, professor, teacher, man, teacher:, medium-dark, skin, tone"
:man_teacher_dark_skin_tone:,"dark skin tone, instructor, man, professor, teacher, man, teacher:, dark, skin, tone"
:woman_teacher:,"instructor, professor, teacher, woman, woman, teacher"
:woman_teacher_light_skin_tone:,"instructor, light skin tone, professor, teacher, woman, woman, teacher:, light, skin, tone"
:woman_teacher_medium-light_skin_tone:,"instructor, medium-light skin tone, professor, teacher, woman, woman, teacher:, medium-light, skin, tone"
:woman_teacher_medium_skin_tone:,"instructor, medium skin tone, professor, teacher, woman, woman, teacher:, medium, skin, tone"
:woman_teacher_medium-dark_skin_tone:,"instructor, medium-dark skin tone, professor, teacher, woman, woman, teacher:, medium-dark, skin, tone"
:woman_teacher_dark_skin_tone:,"dark skin tone, instructor, professor, teacher, woman, woman, teacher:, dark, skin, tone"
:judge:,"judge, justice, scales, judge"
:judge_light_skin_tone:,"judge, justice, light skin tone, scales, judge:, light, skin, tone"
:judge_medium-light_skin_tone:,"judge, justice, medium-light skin tone, scales, judge:, medium-light, skin, tone"
:judge_medium_skin_tone:,"judge, justice, medium skin tone, scales, judge:, medium, skin, tone"
:judge_medium-dark_skin_tone:,"judge, justice, medium-dark skin tone, scales, judge:, medium-dark, skin, tone"
:judge_dark_skin_tone:,"dark skin tone, judge, justice, scales, judge:, dark, skin, tone"
:man_judge:,"judge, justice, man, scales, man, judge"
:man_judge_light_skin_tone:,"judge, justice, light skin tone, man, scales, man, judge:, light, skin, tone"
:man_judge_medium-light_skin_tone:,"judge, justice, man, medium-light skin tone, scales, man, judge:, medium-light, skin, tone"
:man_judge_medium_skin_tone:,"judge, justice, man, medium skin tone, scales, man, judge:, medium, skin, tone"
:man_judge_medium-dark_skin_tone:,"judge, justice, man, medium-dark skin tone, scales, man, judge:, medium-dark, skin, tone"
:man_judge_dark_skin_tone:,"dark skin tone, judge, justice, man, scales, man, judge:, dark, skin, tone"
